    PID    PPID USER     ELAPSED COMMAND         COMMAND
    248       2 root         139 kworker/R-scsi_ [kworker/R-scsi_]
    249       2 root         139 scsi_eh_28      [scsi_eh_28]
    250       2 root         139 kworker/R-scsi_ [kworker/R-scsi_]
    251       2 root         139 scsi_eh_29      [scsi_eh_29]
    252       2 root         139 kworker/R-scsi_ [kworker/R-scsi_]
    253       2 root         139 scsi_eh_30      [scsi_eh_30]
    254       2 root         139 kworker/R-scsi_ [kworker/R-scsi_]
    255       2 root         139 scsi_eh_31      [scsi_eh_31]
    256       2 root         139 kworker/R-scsi_ [kworker/R-scsi_]
    257       2 root         139 scsi_eh_32      [scsi_eh_32]
    258       2 root         139 kworker/R-scsi_ [kworker/R-scsi_]
    259       2 root         139 kworker/u257:6- [kworker/u257:6-events_unbound]
    260       2 root         139 kworker/u257:7- [kworker/u257:7-events_unbound]
    261       2 root         139 kworker/u257:8- [kworker/u257:8-events_unbound]
    262       2 root         139 kworker/u257:9- [kworker/u257:9-events_unbound]
    263       2 root         139 kworker/u257:10 [kworker/u257:10-events_unbound]
    264       2 root         139 kworker/u257:11 [kworker/u257:11-events_power_efficient]
    265       2 root         139 kworker/u257:12 [kworker/u257:12-events_unbound]
    266       2 root         139 kworker/u257:13 [kworker/u257:13-events_unbound]
    267       2 root         139 kworker/u257:14 [kworker/u257:14-events_unbound]
    268       2 root         139 kworker/u257:15 [kworker/u257:15-events_unbound]
    269       2 root         139 kworker/u257:16 [kworker/u257:16-events_unbound]
    270       2 root         139 kworker/u257:17 [kworker/u257:17-events_unbound]
    271       2 root         139 kworker/u257:18 [kworker/u257:18-events_unbound]
    272       2 root         139 kworker/u257:19 [kworker/u257:19-events_unbound]
    273       2 root         139 kworker/u257:20 [kworker/u257:20-events_power_efficient]
    274       2 root         139 kworker/u257:21 [kworker/u257:21-events_unbound]
    275       2 root         139 kworker/u257:22 [kworker/u257:22-events_unbound]
    276       2 root         139 kworker/u257:23 [kworker/u257:23-events_unbound]
    277       2 root         139 kworker/u257:24 [kworker/u257:24-events_unbound]
    278       2 root         139 kworker/u257:25 [kworker/u257:25-events_unbound]
    279       2 root         139 kworker/u257:26 [kworker/u257:26-events_unbound]
    280       2 root         139 kworker/u257:27 [kworker/u257:27-events_power_efficient]
    281       2 root         139 kworker/u257:28 [kworker/u257:28-flush-252:0]
    282       2 root         139 kworker/u257:29 [kworker/u257:29-events_power_efficient]
    283       2 root         139 kworker/u257:30 [kworker/u257:30-events_unbound]
    284       2 root         139 kworker/u257:31 [kworker/u257:31-events_unbound]
    285       2 root         139 kworker/u257:32 [kworker/u257:32]
    303       2 root         138 kworker/R-kdmfl [kworker/R-kdmfl]
    336       2 root         137 kworker/R-raid5 [kworker/R-raid5]
    359       2 root         137 kworker/0:2H-kb [kworker/0:2H-kblockd]
    376       2 root         137 jbd2/dm-0-8     [jbd2/dm-0-8]
    377       2 root         137 kworker/R-ext4- [kworker/R-ext4-]
    444       1 root         136 systemd-journal /usr/lib/systemd/systemd-journald
    467       2 root         136 kworker/R-kmpat [kworker/R-kmpat]
    468       2 root         136 kworker/R-kmpat [kworker/R-kmpat]
    469       2 root         136 kworker/u258:3- [kworker/u258:3-flush-252:0]
    481       1 root         136 multipathd      /sbin/multipathd -d -s
    483       2 root         136 kworker/1:3-cgr [kworker/1:3-cgroup_free]
    494       1 root         136 systemd-udevd   /usr/lib/systemd/systemd-udevd
    523       2 root         136 psimon          [psimon]
    604       2 root         135 jbd2/sda2-8     [jbd2/sda2-8]
    605       2 root         135 kworker/R-ext4- [kworker/R-ext4-]
    637       1 systemd+     135 systemd-network /usr/lib/systemd/systemd-networkd
    655       1 systemd+     135 systemd-resolve /usr/lib/systemd/systemd-resolved
    659       1 systemd+     135 systemd-timesyn /usr/lib/systemd/systemd-timesyncd
    665       1 root         135 auditd          /sbin/auditd
    725       2 root         135 audit_prune_tre [audit_prune_tree]
    755       2 root         135 kworker/R-cfg80 [kworker/R-cfg80]
    774       1 root         135 VGAuthService   /usr/bin/VGAuthService
    775       1 root         135 vmtoolsd        /usr/bin/vmtoolsd
    787       2 root         135 irq/60-vmw_vmci [irq/60-vmw_vmci]
    789       2 root         135 irq/61-vmw_vmci [irq/61-vmw_vmci]
    790       2 root         135 irq/62-vmw_vmci [irq/62-vmw_vmci]
    823       1 message+     135 dbus-daemon     @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    838       2 root         135 irq/16-vmwgfx   [irq/16-vmwgfx]
    840       2 root         135 kworker/R-ttm   [kworker/R-ttm]
    848       1 polkitd      135 polkitd         /usr/lib/polkit-1/polkitd --no-debug
    860       1 root         135 systemd-logind  /usr/lib/systemd/systemd-logind
    861       1 root         135 udisksd         /usr/libexec/udisks2/udisksd
    874       1 syslog       135 rsyslogd        /usr/sbin/rsyslogd -n -iNONE
    934       1 root         134 ModemManager    /usr/sbin/ModemManager
   1265       1 root         133 cron            /usr/sbin/cron -f -P
   1269       1 root         133 sshd            sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   1288       1 root         133 agetty          /sbin/agetty -o -p -- \u --noclear - linux
   1302       1 root         133 wazuh-execd     /var/ossec/bin/wazuh-execd
   1433       1 wazuh        132 wazuh-agentd    /var/ossec/bin/wazuh-agentd
   1526       1 root         131 wazuh-syscheckd /var/ossec/bin/wazuh-syscheckd
   1537       1 root         131 wazuh-logcollec /var/ossec/bin/wazuh-logcollector
   1553       1 root         130 wazuh-modulesd  /var/ossec/bin/wazuh-modulesd
   2585       2 root         115 kworker/u258:4- [kworker/u258:4-flush-252:0]
   4536       2 root           0 psimon          [psimon]
   4538       1 angel          0 systemd         /usr/lib/systemd/systemd --user
   4539    4538 angel          0 (sd-pam)        (sd-pam)
   4597    1269 root           0 sshd            sshd: angel [priv]
   4644    4597 angel          0 sshd            sshd: angel@notty
   4645    4644 angel          0 ps              ps -eo pid,ppid,user,etimes,comm,args --sort=start_time
